X1,X2,Y
0.03159499,0.98698776,0
2.11509784,-0.04624397,1
0.88248972,-0.07575606,0
-0.0551441,-0.03733246,1
0.82954503,-0.53932149,1
2.11285708,0.66208353,1
0.5696927,0.33744136,0
0.95217454,-0.75307471,1
-0.02922115,0.39287336,1
1.71579557,0.36069454,1
-0.27883014,0.61420539,1
2.00344509,-0.3091496,1
1.50009616,-0.74636376,1
1.22540835,1.19793017,0
0.46730819,0.54703192,0
-0.36653222,1.11971633,0
0.30124459,1.23315697,0
0.30430746,0.82373935,0
-0.23712492,0.77876034,0
1.16339832,0.55290238,0
-0.59702417,0.6572361,0
0.46356735,-0.1951543,1
0.68451111,0.75287685,0
0.70515699,-0.45892444,1
-0.65805008,-0.12944211,0
-0.74662946,-0.3829632,0
0.60585226,0.31252842,0
2.18137168,-0.02291747,1
1.91980633,0.17247329,1
1.4834364,-0.10517023,1
0.47404723,-0.14575067,1
1.05614605,-1.03570207,1
1.86500732,-0.01107874,1
0.4194721,-0.32478101,1
0.06873258,0.56648467,1
-0.17332432,1.00215131,0
0.12412421,1.00062892,0
0.18121142,0.24717743,1
-0.25451559,0.19317272,1
1.02580668,-0.62574566,1
1.52002143,-0.04515581,0
0.64174037,-0.39369468,1
-0.87615589,0.0465662,0
-1.06964997,0.13666025,0
1.02658765,0.37782458,0
0.93131325,1.38517841,0
0.67680544,1.57189931,0
-0.36885733,0.72886601,0
-1.02465495,0.16190215,0
0.77455385,0.15375803,0
1.4045116,-0.00705701,1
-0.38147174,-0.23488747,1
0.72155224,0.44721658,0
-0.51346686,0.67869095,0
0.32118546,0.28668667,0
0.1953628,0.16085107,1
0.52824196,0.98300993,0
-0.2216539,0.25160139,0
0.22334676,1.32217183,0
-0.10704572,0.56178326,1
0.63651685,0.75444825,0
-0.37227848,0.99291317,0
0.20718083,-0.09767143,1
0.12733142,-0.3796549,1
0.71435231,-0.79994161,1
1.09487814,-0.36841845,1
-0.14814362,0.96158657,0
1.586188,-0.62984517,1
0.74444551,0.57661371,0
2.18011028,-0.69977751,1
0.24575594,0.8496383,0
-0.95003581,0.90361699,0
-0.88230758,0.07249044,0
2.02297079,0.12325148,1
2.14577321,0.46296362,1
0.35536468,-0.67847989,1
0.34665026,1.11570676,0
1.7392373,0.45900352,1
0.63856467,-0.44718443,1
1.2876687,-0.4910366,1
-0.13772607,1.2453262,0
-0.56175303,1.05486051,0
1.29003748,-0.20691405,1
-0.87539365,0.50543423,0
-0.92858249,-0.45631991,0
0.02493632,0.10747958,1
0.1972559,-0.06801668,1
0.73346056,0.28161929,0
1.68294434,-0.2020423,1
0.50764124,-0.11731979,1
1.66760217,-0.42485665,1
-0.82172282,0.63141066,0
0.30170903,0.78603534,0
1.37671505,-0.80915107,1
1.17037551,0.59840653,0
1.69945309,0.58771967,1
0.21862323,-0.65252119,1
0.95291428,-0.41976564,1
-1.31850034,0.42311235,0
-1.29681764,0.18414709,0
